"group","no_vote","dem","rep","three","four","oth","obs","no_vote.1","dem.1","rep.1","three.1","four.1","oth.1","obs.1","no_vote.2","dem.2","rep.2","three.2","four.2","oth.2","obs.2","no_vote.3","dem.3","rep.3","three.3","four.3","oth.3","obs.3","no_vote.4","dem.4","rep.4","three.4","four.4","oth.4","obs.4"
"Straight",NA,0.465,0.482,0.005,0.041,0.007,5798,0.002,0.501,0.483,0.005,NA,0.008,6151,0.003,0.608,0.374,NA,NA,0.015,3919,0.003,0.527,0.449,NA,NA,0.021,8919,0.006,0.484,0.44,0.033,0.015,0.022,4336
"LGBT",NA,0.707,0.207,0.004,0.069,0.012,246,NA,0.789,0.207,0.004,NA,NA,227,0.013,0.739,0.209,NA,NA,0.039,153,0.005,0.765,0.207,NA,NA,0.023,430,0.005,0.712,0.162,0.05,0.045,0.027,222
"Straight Men",NA,0.383,0.558,0.006,0.044,0.009,2660,0.002,0.458,0.521,0.007,NA,0.012,2621,0.003,0.573,0.403,NA,NA,0.021,1672,0.003,0.482,0.488,NA,NA,0.027,4001,0.007,0.416,0.5,0.04,0.016,0.021,1947
"LGBT Men",NA,0.68,0.224,NA,0.088,0.008,125,NA,0.774,0.226,NA,NA,NA,106,0.014,0.671,0.271,NA,NA,0.043,70,NA,0.793,0.187,NA,NA,0.02,198,NA,0.701,0.134,0.072,0.052,0.041,97
"Straight Women",NA,0.533,0.419,0.005,0.038,0.005,3097,0.002,0.534,0.455,0.004,NA,0.005,3512,0.003,0.634,0.353,NA,NA,0.011,2239,0.003,0.563,0.417,NA,NA,0.017,4906,0.005,0.539,0.392,0.028,0.013,0.024,2382
"LGBT Women",NA,0.726,0.197,0.009,0.051,0.017,117,NA,0.805,0.195,NA,NA,NA,118,0.012,0.795,0.157,NA,NA,0.036,83,0.009,0.743,0.226,NA,NA,0.022,230,0.008,0.72,0.184,0.032,0.04,0.016,125
"Straight White",NA,0.396,0.549,0.005,0.043,0.007,4583,0.002,0.439,0.547,0.005,NA,0.007,4821,0.002,0.52,0.463,NA,NA,0.015,2784,0.003,0.417,0.558,NA,NA,0.022,6416,0.007,0.378,0.542,0.037,0.012,0.024,3086
"LGBT White",NA,0.686,0.217,NA,0.08,0.017,175,NA,0.785,0.215,NA,NA,NA,172,0.022,0.728,0.217,NA,NA,0.033,92,0.004,0.73,0.245,NA,NA,0.021,282,NA,0.672,0.209,0.052,0.022,0.045,134
"Straight POC",NA,0.465,0.482,0.005,0.041,0.007,5798,0.002,0.501,0.483,0.005,NA,0.008,6151,0.003,0.608,0.374,NA,NA,0.015,3919,0.003,0.527,0.449,NA,NA,0.021,8919,0.006,0.484,0.44,0.033,0.015,0.022,4336
"LGBT POC",NA,0.707,0.207,0.004,0.069,0.012,246,NA,0.789,0.207,0.004,NA,NA,227,0.013,0.739,0.209,NA,NA,0.039,153,0.005,0.765,0.207,NA,NA,0.023,430,0.005,0.712,0.162,0.05,0.045,0.027,222
"Straight White Men",NA,0.313,0.627,0.006,0.045,0.01,2118,0.001,0.409,0.574,0.006,NA,0.009,2086,0.001,0.484,0.496,NA,NA,0.019,1203,0.003,0.376,0.592,NA,NA,0.029,2938,0.009,0.311,0.603,0.043,0.014,0.02,1405
"LGBT White Men",NA,0.648,0.239,NA,0.102,0.011,88,NA,0.728,0.272,NA,NA,NA,81,0.023,0.721,0.233,NA,NA,0.023,43,NA,0.766,0.211,NA,NA,0.023,128,NA,0.7,0.15,0.067,0.017,0.067,60
"Straight POC Men",NA,0.383,0.558,0.006,0.044,0.009,2660,0.002,0.458,0.521,0.007,NA,0.012,2621,0.003,0.573,0.403,NA,NA,0.021,1672,0.003,0.482,0.488,NA,NA,0.027,4001,0.007,0.416,0.5,0.04,0.016,0.021,1947
"LGBT POC Men",NA,0.68,0.224,NA,0.088,0.008,125,NA,0.774,0.226,NA,NA,NA,106,0.014,0.671,0.271,NA,NA,0.043,70,NA,0.793,0.187,NA,NA,0.02,198,NA,0.701,0.134,0.072,0.052,0.041,97
"Straight White Women",NA,0.467,0.482,0.004,0.042,0.005,2441,0.002,0.463,0.526,0.004,NA,0.006,2724,0.003,0.549,0.437,NA,NA,0.011,1580,0.003,0.452,0.529,NA,NA,0.017,3473,0.005,0.435,0.492,0.031,0.01,0.027,1680
"LGBT White Women",NA,0.721,0.198,NA,0.058,0.023,86,NA,0.831,0.169,NA,NA,NA,89,0.02,0.735,0.204,NA,NA,0.041,49,0.007,0.706,0.275,NA,NA,0.013,153,NA,0.649,0.257,0.041,0.027,0.027,74
"Straight POC Women",NA,0.533,0.419,0.005,0.038,0.005,3097,0.002,0.534,0.455,0.004,NA,0.005,3512,0.003,0.634,0.353,NA,NA,0.011,2239,0.003,0.563,0.417,NA,NA,0.017,4906,0.005,0.539,0.392,0.028,0.013,0.024,2382
"LGBT POC Women",NA,0.726,0.197,0.009,0.051,0.017,117,NA,0.805,0.195,NA,NA,NA,118,0.012,0.795,0.157,NA,NA,0.036,83,0.009,0.743,0.226,NA,NA,0.022,230,0.008,0.72,0.184,0.032,0.04,0.016,125
